ID,EN,FR
ID_Q24,Does the vaccine effectively prevent Covid19 variants?,Le vaccin est-il efficace contre les variants de Covid-19?
ID_Q24AnswerTrue,"Yes, there is no evidence that the variants could escape the protection of the vaccine.","Oui, Il n’existe pas de preuves que les variants pourraient échapper à la protection du vaccin."
ID_Q24AnswerFalse,"No, the variants are very different.","Non, les variants sont très différents."
ID_Q25, Does being vaccinated prevent you from contaminating others?,Le fait d’être vacciné empêche-t-il de contaminer d’autres personnes?
ID_Q25AnswerTrue,"Yes, the vaccine is a  barrier measure.","Oui, le vaccin est contre les gestes barrière"
ID_Q25AnswerFalse,"No, even when vaccinated you can still transmit the disease.","Non, même vaccine on peut quand même transmettre la maladie"
ID_Q26,Will there be a need for a booster shot every year?,Va-t-on devoir faire un rappel de vaccin tous les ans?
ID_Q26AnswerTrue,"No, the vaccines are long term.","Non, les vaccins tiennent à long terme."
ID_Q26AnswerFalse,This is still under consideration.,C’est encore en cours de reflexion
ID_Q27,Can a contaminated person be vaccinated?,"Si on fait la maladie a Covid-19, faut-il se faire vacciner?"
ID_Q27AnswerTrue,"Yes, but they will have to wait for 6 months. ","Oui, mais on doit attendre 6 mois"
ID_Q27AnswerFalse,"No, you only get Covid19 once.","Non, on contracte la covid-19 une fois seule fois"
ID_Q28,Does the Covid19 vaccine inject 5G into our bodies?,Le vaccin contre covid19 injecte la 5G dans notre corps?
ID_Q28AnswerTrue,"Yes, we are controlled by laboratories.","Oui, les laboratoires nous contrôlent"
ID_Q28AnswerFalse,"No, it is absolutely impossible.","Non, c’est absolument impossible"
ID_Q29,Should children also be vaccinated?,Les enfants doivent-ils se faire vacciner aussi?
ID_Q29AnswerTrue,"Yes, for younger children.",Oui pour des enfants plus jeunes
ID_Q29AnswerFalse,"No, for the time being the vaccine is recommended on average from the age of 16.",Non pour l’instant le vaccin est conseillé en moyenne à partir de 16 ans
ID_Q30,Can we still protect ourselves against covid19?,Peut-on quand même se protéger contre covid19?
ID_Q30AnswerTrue,"Yes, you have to respect the barrier measures and talk about it to others.",Oui il faut respecter les gestes barrière et en parler autour de soi
ID_Q30AnswerFalse,"No, it is impossible.",Non ce n'est pas
ID_LangText,Language,Langue
ID_SelectLangBtn,Select Language,Choisir la langue
ID_SelectCharacterText,Select your Character,Sélectionnez votre personnage
ID_AyoDesText,Ayo lives in Central Africa. Her super power is her ability to detect and avoid fake news. ,Ayo vit en Afrique Centrale. Son super pouvoir est une armure qui protège des Fake News
ID_BachirDesText,Bachir resides in North Africa and his super power is  spreading good news. ,Bachir vit en Afrique du Nord. Son super pouvoir est de distributeur de bonnes informations
ID_IyanaDesText,Inaya lives in East Africa and her superpower lies in the fact that she possesses the antibodies used to create the vaccine.,Inaya vit en Afrique de l’Est. Son super pouvoir c’est les anticorps qu’apporte le vaccin 
ID_MariusDesText,Marius lives in South Africa and his superpower lies in the aura of protection given by the barrier measures.,Marius vit en Afrique du Sud. Son super pouvoir est son aura de protection que lui confèrent les gestes barrières 
ID_ViewFullText,View Full Profile,Voir le profil complet
ID_SelectHeroBtnText,Select Hero,Sélectionnez Hero
ID_AgeText,Age,Âge
ID_CountryText,Country,Pays
ID_SuperpowerText,SuperPower,Superpuissance
ID_GoalText,Goal,But
ID_AyoGoalKey,Educate Africa on the COVID19,Éduquer l'Afrique sur le Covid19
ID_BachirGoalKey,Spread Good News & Cheer,Répandre de bonnes nouvelles et applaudir
ID_IyanaGoalKey,Spread COVID-19 Vaccine ,Répandre le vaccin Covid-19
ID_MariusGoalKey,Protect people with barrier measures,Protéger les personnes avec des mesures de barrière
ID_AyoSuperpowerKey,Armour of truth,Armure de vérité
ID_BachirSuperpowerKey,Bearer of Good News,Porteur de bonnes nouvelles
ID_IyanaSuperpowerKey,Special Antibodies,Anticorps spéciaux
ID_MariusSuperpowerKey,Aura of Protection,Aura de protection
ID_GameProgress,Game progression,Progression du jeu
ID_MMenuQuestTitleText,About your next task,À propos de votre prochaine tâche
ID_MMenuQuestTutorialText,Welcome to COVID Warrior. Take a quick Tutorial to learn about your quests.,Bienvenue à Covid Warrior. Faites un tutoriel rapide pour en savoir plus sur vos quêtes.
ID_MMenuQuestLevel1DesText,What is COVID 19 and where did it come from help our hero's find out.,Qu'est-ce que Covid 19 et d'où vient-il d'aider notre héros à découvrir.
ID_MMenuQuestLevel2DesText,"Misinformation is a huge problem especially in such times, help our hero's fight off the misinformation and bring knowledge to the people.","La désinformation est un problème énorme, notamment dans ces moments, aidez notre héros à combattre la désinformation et à apporter des connaissances au peuple."
ID_MMenuQuestLevel3DesText,"Finally the vaccine is ready, but how does it work. Lets find out together.","Enfin, le vaccin est prêt, mais comment ça marche? Permet de découvrir ensemble."
ID_MMenuLevel1BtnText,Tutorial,Didacticiel
ID_ContinueText,Continue,Continuer
ID_MMenuQuestText,Quests,Quêtes
ID_MMenuLevel1Text,Level 1,Niveau 1
ID_MMenuLevel2Text,Level 2,Niveau 2
ID_MMenuLevel3Text,Level 3,Niveau 3
ID_MMenuLevel1SubText,The Virus,Le virus
ID_MMenuLevel2SubText,Misinformation,Désinformation
ID_MMenuLevel3SubText,The Vaccine,Le vaccin
ID_LStartQuestObjText,Quest Objective,Objectif de quête
ID_BadgesToBeWonText,Badges to be won,Badges à gagner
ID_StartQuizBtnText,Start Quiz,Démarrer quiz
ID_QuestionText,Question,Question
ID_OfText,of,de
ID_LReviewGJText,GOOD JOB!,BON TRAVAIL!
ID_LReviewFailedText,TRY AGAIN!,RÉESSAYER!
ID_LREarnBadgesText,You earned,Tu as gagné
ID_BadgeText,new badge,nouveau badge
ID_BadgesText,new badges,nouveaux badges
ID_PassTextLevel1,"Magnificent, you completed the mission and showcased your knowledge on the COVID-19 virus and how to protect yourself from it. Now your next mission is to stop the spread of misinformation on the virus COVID-19 virus. ","Magnifique, vous avez terminé la mission et avez présenté vos connaissances sur le virus COVID-19 et comment vous protéger de cela. Votre prochaine mission est maintenant d'arrêter la propagation de la désinformation sur le virus Virus Covid-19."
ID_PassTextLevel2,"You have dispelled all the misinformation that was going around and now people are informed on the subject of the COVID-19 virus. Mission was successful. The vaccine is ready, your next mission is to get it to as many people as possible. ","Vous avez dissipé toute la désinformation qui se passait autour et maintenant les gens sont informés sur le sujet du virus Covid-19. La mission a réussi. Le vaccin est prêt, votre prochaine mission est de l'obtenir autant de personnes que possible."
ID_PassTextLevel3,The mission was a success. Data shows there has been an increase in the number of people taking the vaccines now. Sociecty is slowly recovering and its all thanks to you. ,La mission était un succès. Les données montrent qu'il y a eu une augmentation du nombre de personnes qui prennent les vaccins maintenant. La sociée se remet lentement et tout remercie.
ID_FailText,"You failed this misson, but you can try again. The fate of the world is in your hand.","Vous avez échoué à ce Misson, mais vous pouvez essayer à nouveau. Le destin du monde est dans votre main."
ID_QuestPerformText,Quest Performance,Performance de quête
ID_TotalTimeText,Total Time,Temps total
ID_ReturnBtnText,Return to Menu,Retour au menu
ID_TryAgainBtnText,Retry,Réessayez
ID_SettingsHeaderText,Settings,Paramètres
ID_GameMusicText,Game Music,Musique de jeu
ID_SoundEffectsText,Sound Effects,Effets sonores
ID_ActiveHeroText,Active Hero,Héros actif
ID_OnSwitchText,On,Activer
ID_OffSwitchText,Off,Désactivé
ID_GetStarted,Get Started,Commencer
ID_LevelNotCompleteText1,Please complete,Veuillez compléter
ID_LevelNotCompleteText2,to unlock this level.,pour déverrouiller ce niveau.
ID_LevelUpText,LEVEL UP!,NIVEAU SUPÉRIEUR!
ID_AwesomeBadgeWonText,Awesome!,Impressionnant!
ID_WonBadgeText,You just won a badge.,Vous venez de gagner un badge.
ID_ConfirmText,Confirm!,Confirmer!
ID_ConfirmationTextDesc,Are you sure you want to change the language?,Êtes-vous sûr de vouloir changer la langue?
ID_ConfirmYesText,Yes,Oui
ID_ConfirmNoText,No,Non
ID_BadgesLeftPlural,badges still yet to be won.,badges encore à gagner.
ID_BadgesLeftSingle,badge still yet to be won.,badge encore pour être gagné.
